Date,Company Name,Research by,Reco Price,Target
"May 28, 2025",LIC India,ICICI Securities,942.55,1040 (11%)
"May 29, 2025",Cohance Life,ICICI Securities,1066.6,1365 (38.8%)
"May 29, 2025",Ramco Cements,Deven Choksey,952.3,988 (-2.3%)
"May 29, 2025",EPack Durables,LKP Securities Limited,380.8,454 (35.3%)
"May 29, 2025",Ashok Leyland,Deven Choksey,240.65,285 (21.1%)
"May 28, 2025",Vinati Organics,Sharekhan,1815.55,2100 (10.3%)
"May 28, 2025",SUMITOMO,Anand Rathi,510.25,620 (26%)
"May 28, 2025",Stylam Ind,Anand Rathi,1705,2276 (38.2%)
"May 28, 2025",NMDC,Prabhudas Lilladher,70.85,75 (10.3%)
"May 28, 2025",Oil India,Prabhudas Lilladher,429.85,649 (39.5%)
"May 28, 2025",Infibeam Avenue,Deven Choksey,21.82,24 (14.4%)
"May 28, 2025",Sun Pharma,Deven Choksey,1665.8,1811 (8.7%)
"May 27, 2025",Info Edge,Sharekhan,1454.65,1680 (11.6%)
"May 27, 2025",Grasim,Sharekhan,2614.45,2950 (8.7%)
"May 27, 2025",Colgate,Sharekhan,2514.25,2829 (17.7%)
"May 27, 2025",HPL Electric,Anand Rathi,544.15,710 (33.5%)
"May 26, 2025",Fusion Finance,Motilal Oswal,172.1,170 (-9.9%)
"May 26, 2025",Havells India,Motilal Oswal,1567.7,1700 (10.8%)
"May 26, 2025",Aditya Birla F,Motilal Oswal,86.8,100 (35.7%)
"May 26, 2025",Glenmark,Motilal Oswal,1389.2,1690 (3.2%)
"May 26, 2025",J. K. Cement,Motilal Oswal,5212.85,6060 (6.4%)
"May 26, 2025",Cello World,Motilal Oswal,622.85,720 (26%)
"May 26, 2025",Indigo Paints,Motilal Oswal,1046.3,1350 (20.4%)
"May 26, 2025",Kolte-Patil,Motilal Oswal,404.2,560 (27.6%)
"May 26, 2025",Updater Service,Motilal Oswal,340.3,400 (38.7%)
"May 28, 2025",Fineotex Chem,Deven Choksey,240.3,294 (5.8%)
"May 28, 2025",Narayana Hruda,Prabhudas Lilladher,1722.85,1950 (2.4%)
"May 28, 2025",Laxmi Organic,Deven Choksey,193.55,206 (6.7%)
"May 28, 2025",Schneider Infra,LKP Securities Limited,779.6,810 (7.2%)
"May 27, 2025",Aurobindo Pharm,Prabhudas Lilladher,1190.95,1440 (31.2%)
"May 27, 2025",KEC Intl,Prabhudas Lilladher,862.3,911 (1.5%)
"May 27, 2025",Sundaram Fin,Prabhudas Lilladher,5180,5000 (3.7%)
"May 27, 2025",Nazara,Prabhudas Lilladher,1280.55,1241 (-2.6%)
"May 27, 2025",Healthcare Glob,Prabhudas Lilladher,533.6,620 (15.8%)
"May 27, 2025",ITC,Deven Choksey,433.9,486 (16.1%)
"May 27, 2025",Cello World,Prabhudas Lilladher,628.85,746 (30.5%)
"May 27, 2025",Finolex Ind,Prabhudas Lilladher,224.8,213 (-1%)
"May 26, 2025",J. K. Cement,Anand Rathi,5212.85,6342 (11.3%)
"May 26, 2025",Star Cement,Anand Rathi,220.25,275 (30.1%)
"May 26, 2025",HG Infra Engg,Anand Rathi,1125.95,1749 (74.2%)
"May 26, 2025",S Chand and Co,Prabhudas Lilladher,226.95,286 (19.1%)
"May 26, 2025",Rainbow Child,Prabhudas Lilladher,1357.45,1725 (18.7%)
"May 26, 2025",BEML,Prabhudas Lilladher,4279.15,4142 (-10.7%)
"May 26, 2025",IndusInd Bank,Deven Choksey,800.25,818 (-2.6%)
"May 24, 2025",JSW Steel,Prabhudas Lilladher,1008.5,1068 (6.2%)
"May 24, 2025",GE Vernova TD,Prabhudas Lilladher,1884.3,2005 (-14.9%)
"May 23, 2025",Metro Brands,Prabhudas Lilladher,1209.75,1195 (4.6%)
"May 23, 2025",Guj State Petro,Prabhudas Lilladher,338.75,348 (9.8%)
"May 21, 2025",Adani Power,Asit C. Mehta,551.3,680 (28.2%)
"May 26, 2025",UNO Minda,Deven Choksey,1013.3,1162 (9.4%)
"May 26, 2025",ITC,Sharekhan,442.8,522 (24.7%)
"May 26, 2025",AIA Engineering,LKP Securities Limited,3360.85,3970 (21.4%)
"May 26, 2025",Zydus Life,Deven Choksey,912.55,1069 (11.6%)
"May 26, 2025",Colgate,Deven Choksey,2510,2742 (14.1%)
"May 26, 2025",Navin Fluorine,Deven Choksey,4273.55,4895 (4.4%)
"May 26, 2025",Ashok Leyland,LKP Securities Limited,239.85,268 (13.9%)
"May 23, 2025",Va Tech Wabag,Sharekhan,1552.1,1770 (20%)
"May 23, 2025",Gokaldas Export,Sharekhan,928.95,1140 (31.3%)
"May 23, 2025",Radico Khaitan,Motilal Oswal,2451.15,3000 (13.9%)
"May 23, 2025",Hexaware Tech,Motilal Oswal,796.55,950 (15.5%)
"May 23, 2025",Sun Pharma,Motilal Oswal,1683.25,2000 (20.1%)
"May 23, 2025",Ramco Cements,Motilal Oswal,1005.9,1030 (1.7%)
"May 23, 2025",PI Industries,Deven Choksey,3679.95,4065 (-1.3%)
"May 23, 2025",TBO Tek,Anand Rathi,1322.75,1500 (18.9%)
